,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mini,Countryman,Cooper S E All4,2019,02,93.350 km,Híbrido,224 CV,automática,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-barcelona.htm?id=7826542,22900
1,Mini,Countryman,Cooper S All4,2019,07,88.000 km,Gasolina,192 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-all4-en-madrid.htm?id=8043755,23995
2,Mini,Mini,Cooper,2008,,225.600 km,Gasolina,120 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-asturias.htm?id=8075885,5850
3,Mini,Mini,Cooper,2021,,19.000 km,Gasolina,136 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-murcia.htm?id=8044879,23995
4,Mini,Mini,John Cooper Works Aut.,2020,,45.990 km,Gasolina,231 CV,automática secuencial,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-john-cooper-works-aut-en-sevilla.htm?id=8064044,32990
5,Mini,Mini,One,2008,01,115.000 km,Gasolina,95 CV,manual,3 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-sevilla.htm?id=7991024,6999
6,Mini,Mini,Cabrio Cooper Aut.,2019,,28.000 km,Gasolina,136 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-illes+balears.htm?id=8086639,22500
7,Mini,Mini,One D,2012,,103.960 km,Diesel,90 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-leon.htm?id=8062510,9500
8,Mini,Mini,One D,2017,04,113.998 km,Diesel,95 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-granada.htm?id=8061826,13500
9,Mini,Mini,John Cooper Works Aut.,2019,,53.000 km,Gasolina,231 CV,automática secuencial,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-john-cooper-works-aut-en-palmas+las.htm?id=8055886,28950
10,Mini,Countryman,Cooper Se All4 Aut.,2021,,43.127 km,Híbrido,220 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-se-all4-aut-en-madrid.htm?id=8115264,27890
11,Mini,Mini,Cabrio Cooper Aut.,2019,,71.000 km,Gasolina,136 CV,automática secuencial,2 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-palmas+las.htm?id=8110906,17995
12,Mini,Mini,Clubman Cooper D,2008,06,147.000 km,Diesel,110 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-clubman-cooper-d-en-tarragona.htm?id=8078305,7600
13,Mini,Countryman,Cooper S E All4,2019,,54.000 km,Híbrido,224 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-s-e-all4-en-palmas+las.htm?id=8072789,22900
14,Mini,Mini,Clubman Cooper D,2008,01,230.000 km,Diesel,110 CV,manual,4 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-clubman-cooper-d-en-sevilla.htm?id=8002953,6000
15,Mini,Countryman,Cooper S,2017,,68.000 km,Gasolina,192 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-en-madrid.htm?id=7181673,19990
16,Mini,Countryman,Cooper S E All4,2018,,59.899 km,Híbrido,224 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-madrid.htm?id=7108595,22990
17,Mini,Mini,Cabrio John Cooper Works Aut.,2022,,6.405 km,Gasolina,231 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mini-mini-cabrio-john-cooper-works-aut-en-barcelona.htm?id=8106679,40900
18,Mini,Mini,Cooper S,2006,,84.170 km,Gasolina,170 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-en-pontevedra.htm?id=8075472,8900
19,Mini,Countryman,Cooper,2014,01,121.924 km,Gasolina,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-en-toledo.htm?id=8049042,10999
20,Mini,Countryman,Cooper S E All4,2018,11,56.205 km,Híbrido,224 CV,automática,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-barcelona.htm?id=8043265,25185
21,Mini,Countryman,Cooper S E All4,2019,09,77.895 km,Híbrido,224 CV,automática,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-pontevedra.htm?id=8005084,23900
22,Mini,Mini,Cooper Se,2023,06,1.291 km,Eléctrico,184 CV,"directo, sin caja de cambios",3 puertas,ISLAND BLUE,Profesional,https://www.coches.com/km0/seminuevo-mini-mini-cooper-se-en-murcia.htm?id=8001167,29800
23,Mini,Mini,One,2019,,25.864 km,Gasolina,102 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-madrid.htm?id=7976080,15890
24,Mini,Countryman,Cooper S E All4,2018,,68.972 km,Híbrido,224 CV,automática,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-madrid.htm?id=7311082,23990
25,Mini,Mini,One,2008,,192.000 km,Gasolina,95 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-madrid.htm?id=8125746,4750
26,Mini,Countryman,Cooper D,2014,,110.242 km,Diesel,112 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-tenerife.htm?id=8125248,12840
27,Mini,Mini,Cooper,2019,,31.500 km,Gasolina,136 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-tenerife.htm?id=8125244,18850
28,Mini,Countryman,Cooper D,2016,04,66.884 km,Diesel,112 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-toledo.htm?id=8111983,14399
29,Mini,Mini,Coupé Cooper S Aut.,2013,02,50.021 km,Gasolina,184 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-coupe-cooper-s-aut-en-toledo.htm?id=8109673,14199
30,Mini,Mini,Cooper S,2007,,91.000 km,Gasolina,175 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-en-malaga.htm?id=8098042,8999
31,Mini,Mini,One Cabrio,2007,,45.000 km,Gasolina,90 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-cabrio-en-madrid.htm?id=8092968,8500
32,Mini,Mini,Cooper,2008,,231.000 km,Gasolina,120 CV,manual,3 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-salamanca.htm?id=8092933,4999
33,Mini,Mini,Cabrio Cooper Aut.,2019,,79.000 km,Gasolina,136 CV,automática secuencial,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-palmas+las.htm?id=8091656,18990
34,Mini,Mini,Clubman Cooper D Aut.,2008,,230.000 km,Diesel,110 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-clubman-cooper-d-aut-en-malaga.htm?id=8086463,5450
35,Mini,Countryman,Cooper S E All4,2020,,64.230 km,Híbrido,224 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-s-e-all4-en-madrid.htm?id=8086222,22990
36,Mini,Mini,Cooper D,2011,,228.000 km,Diesel,112 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-d-en-almeria.htm?id=8083085,6900
37,Mini,Mini,One D,2016,11,38.148 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-vizcaya.htm?id=8078638,14400
38,Mini,Countryman,Cooper S Aut.,2017,,76.250 km,Gasolina,192 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-aut-en-barcelona.htm?id=8064252,22880
39,Mini,Countryman,Cooper Se All4 Aut.,2021,,60.413 km,Híbrido,220 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-se-all4-aut-en-madrid.htm?id=8051365,26990
40,Mini,Countryman,Cooper S E All4,2020,,58.686 km,Híbrido,224 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-s-e-all4-en-madrid.htm?id=8051363,24890
41,Mini,Countryman,Cooper,2018,,42.000 km,Gasolina,136 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-en-barcelona.htm?id=8049272,20400
42,Mini,Mini,Cabrio Cooper,2018,07,62.458 km,Gasolina,136 CV,manual,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-en-toledo.htm?id=8049034,17899
43,Mini,Countryman,Cooper S E All4,2019,,55.451 km,Híbrido,224 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-madrid.htm?id=8044760,24990
44,Mini,Countryman,Cooper S E All4,2020,05,38.498 km,Híbrido,224 CV,automática,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-pontevedra.htm?id=8006827,28500
45,Mini,Mini,One D,2017,01,94.442 km,Diesel,95 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-madrid.htm?id=7915648,11890
46,Mini,Mini,One D,2017,01,94.442 km,Diesel,95 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-sevilla.htm?id=7889002,11890
47,Mini,Mini,Cabrio John Cooper Works Aut.,2022,,8.500 km,Gasolina,231 CV,automática secuencial,2 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mini-mini-cabrio-john-cooper-works-aut-en-valencia.htm?id=7716375,41900
48,Mini,Mini,One D,2017,01,94.442 km,Diesel,95 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-malaga.htm?id=7644873,11890
49,Mini,Countryman,Cooper S E All4,2020,,51.930 km,Híbrido,224 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-valencia.htm?id=8125262,28900
50,Mini,Countryman,Cooper Se All4 Aut.,2021,,60.944 km,Híbrido,220 CV,automática secuencial,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-se-all4-aut-en-madrid.htm?id=8125118,26990
51,Mini,Mini,Cabrio Cooper Aut.,2019,03,76.000 km,Gasolina,136 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-palmas+las.htm?id=8118493,18990
52,Mini,Mini,Cooper Aut.,2022,,14.500 km,Gasolina,136 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-aut-en-huelva.htm?id=8115780,25950
53,Mini,Mini,One,2019,,72.361 km,Gasolina,102 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-malaga.htm?id=8106697,15500
54,Mini,Mini,Cooper S Aut.,2021,06,16.985 km,Gasolina,178 CV,automática secuencial,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-aut-en-toledo.htm?id=8105264,29199
55,Mini,Mini,Clubman Cooper Sd Aut.,2016,10,86.439 km,Diesel,190 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-clubman-cooper-sd-aut-en-toledo.htm?id=8093270,18799
56,Mini,Countryman,Cooper Aut.,2023,07,0 km,Gasolina,136 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mini-countryman-countryman-cooper-aut-en-madrid.htm?id=8087291,31995
57,Mini,Mini,One,2002,,178.000 km,Gasolina,90 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-valencia.htm?id=8085127,4900
58,Mini,Mini,Cooper S Cabrio,2007,,210.000 km,Gasolina,170 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-cabrio-en-madrid.htm?id=8068326,8499
59,Mini,Mini,Cooper D,2010,,107.679 km,Diesel,110 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-d-en-barcelona.htm?id=8066344,8499
60,Mini,Mini,Cooper S Aut.,2014,,143.000 km,Gasolina,192 CV,automática secuencial,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-aut-en-valencia.htm?id=8062860,17900
61,Mini,Countryman,Cooper D Aut.,2017,01,53.055 km,Diesel,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-aut-en-vizcaya.htm?id=8056800,20400
62,Mini,Countryman,Cooper Se All4 Aut.,2022,06,36.000 km,Híbrido,220 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-se-all4-aut-en-madrid.htm?id=8055550,34995
63,Mini,Mini,Cabrio One,2018,,97.897 km,Gasolina,102 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-one-en-valencia.htm?id=8051495,13900
64,Mini,Countryman,Cooper S E All4,2020,,49.285 km,Híbrido,224 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-s-e-all4-en-madrid.htm?id=8051364,25990
65,Mini,Countryman,Cooper Se All4 Aut.,2021,,69.292 km,Híbrido,220 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-se-all4-aut-en-madrid.htm?id=8047136,26490
66,Mini,Mini,One D,2018,,129.000 km,Diesel,95 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-valencia.htm?id=8044505,11999
67,Mini,Mini,Cooper Se,2023,07,11 km,Eléctrico,184 CV,"directo, sin caja de cambios",3 puertas,Azul Brillante,Profesional,https://www.coches.com/km0/seminuevo-mini-mini-cooper-se-en-murcia.htm?id=8038858,32500
68,Mini,Countryman,Cooper S E All4,2019,07,77.277 km,Híbrido,224 CV,automática,5 puertas,ISLAND BLUE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-s-e-all4-en-murcia.htm?id=8035780,25400
69,Mini,Countryman,Cooper Sd,2012,,155.000 km,Diesel,143 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-sd-en-valencia.htm?id=8030742,12900
70,Mini,Mini,One,2019,,39.000 km,Gasolina,102 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-palmas+las.htm?id=8030736,16900
71,Mini,Mini,John Cooper Works Aut.,2019,,60.463 km,Gasolina,231 CV,automática secuencial,3 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-john-cooper-works-aut-en-madrid.htm?id=8005702,28990
72,Mini,Countryman,Cooper D,2021,01,72.921 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-madrid.htm?id=8002679,23890
73,Mini,Countryman,Cooper D,2021,01,72.921 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-sevilla.htm?id=8001893,23890
74,Mini,Countryman,Cooper D,2021,01,72.921 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-malaga.htm?id=8001310,23890
75,Mini,Mini,Cabrio Cooper Aut.,2021,01,46.293 km,Gasolina,136 CV,automática secuencial,2 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-madrid.htm?id=7951347,22990
76,Mini,Mini,One D,2017,,58.649 km,Diesel,95 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-cadiz.htm?id=7408101,14990
77,Mini,Countryman,Cooper Se All4 Aut.,2021,,66.716 km,Híbrido,220 CV,automática secuencial,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-se-all4-aut-en-madrid.htm?id=8127958,26690
78,Mini,Mini,One 75,2010,,74.000 km,Gasolina,75 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-75-en-zamora.htm?id=8122986,10800
79,Mini,Countryman,Cooper Sd All4 Aut.,2014,,94.000 km,Diesel,143 CV,automática secuencial,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-sd-all4-aut-en-barcelona.htm?id=8110894,15975
80,Mini,Countryman,Cooper D,2018,,151.000 km,Diesel,149 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-salamanca.htm?id=8108524,17999
81,Mini,Countryman,Cooper,2018,,80.459 km,Gasolina,136 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-en-sevilla.htm?id=8097517,19975
82,Mini,Mini,One,2019,,40.000 km,Gasolina,102 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-lleida.htm?id=8083097,17500
83,Mini,Mini,Cabrio One,2017,,96.000 km,Gasolina,102 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-one-en-tenerife.htm?id=8079837,13990
84,Mini,Mini,Cooper D,2008,06,140.000 km,Diesel,110 CV,manual,3 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-d-en-tarragona.htm?id=8078978,7700
85,Mini,Countryman,Cooper,2012,,153.000 km,Gasolina,122 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-en-barcelona.htm?id=8074096,9950
86,Mini,Mini,Cabrio Cooper,2011,05,111.600 km,Gasolina,122 CV,manual,2 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-en-toledo.htm?id=8067580,11099
87,Mini,Countryman,Cooper Aut.,2012,,78.000 km,Gasolina,122 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-aut-en-barcelona.htm?id=8065046,13490
88,Mini,Mini,One Cabrio,2006,,174.000 km,Gasolina,90 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-cabrio-en-malaga.htm?id=8063117,6900
89,Mini,Mini,One D,2019,10,117.498 km,Diesel,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-cadiz.htm?id=8059821,18000
90,Mini,Mini,One D,2019,10,117.498 km,Diesel,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-cadiz.htm?id=8059816,18000
91,Mini,Mini,One D,2019,10,117.498 km,Diesel,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-sevilla.htm?id=8059812,18000
92,Mini,Mini,Cabrio Cooper S Aut.,2018,03,69.344 km,Gasolina,192 CV,automática secuencial,2 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-s-aut-en-barcelona.htm?id=8059308,26900
93,Mini,Mini,One D,2018,09,74.342 km,Diesel,95 CV,manual,3 puertas,CHILI RED,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-barcelona.htm?id=8014182,14600
94,Mini,Countryman,One D,2012,,154.000 km,Diesel,90 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-one-d-en-alicante.htm?id=8011187,9995
95,Mini,Mini,Paceman Cooper D,2014,,119.200 km,Diesel,112 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-paceman-cooper-d-en-huelva.htm?id=7993232,12950
96,Mini,Mini,One,2019,,80.000 km,Gasolina,102 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-granada.htm?id=7766757,15500
97,Mini,Mini,One D,2015,,105.800 km,Diesel,95 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-almeria.htm?id=8128755,12200
98,Mini,Countryman,Cooper D Aut.,2011,,141.000 km,Diesel,111 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-aut-en-alicante.htm?id=8118669,12950
99,Mini,Mini,Cabrio Cooper Aut.,2014,,58.000 km,Gasolina,122 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-lleida.htm?id=8117324,17800
100,Mini,Countryman,Cooper D,2017,,137.000 km,Diesel,149 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-cooper-d-en-barcelona.htm?id=8115429,19990
101,Mini,Mini,Cabrio One,2017,,90.198 km,Gasolina,102 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-one-en-malaga.htm?id=8106721,15900
102,Mini,Mini,Cooper,2015,05,129.845 km,Gasolina,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-toledo.htm?id=8106245,12199
103,Mini,Mini,One D,2012,05,134.102 km,Diesel,90 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-toledo.htm?id=8106242,9799
104,Mini,Mini,One Aut.,2019,,80.360 km,Gasolina,102 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-aut-en-malaga.htm?id=8101136,19490
105,Mini,Mini,Cabrio Cooper S Aut.,2023,,15.000 km,Gasolina,178 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-s-aut-en-alicante.htm?id=8099718,38000
106,Mini,Mini,Cabrio Cooper Aut.,2021,,70.000 km,Gasolina,136 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-cooper-aut-en-sevilla.htm?id=8099694,23990
107,Mini,Countryman,One,2019,12,29.859 km,Gasolina,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-countryman-one-en-toledo.htm?id=8099653,20699
108,Mini,Mini,Cabrio Cooper S Aut.,2023,,6.000 km,Gasolina,178 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mini-mini-cabrio-cooper-s-aut-en-alicante.htm?id=8092877,41900
109,Mini,Mini,Cooper D,2010,,138.400 km,Diesel,112 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-d-en-madrid.htm?id=8091845,9990
110,Mini,Mini,Cooper Sd Aut.,2019,04,40.000 km,Diesel,170 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-sd-aut-en-palmas+las.htm?id=8090190,25990
111,Mini,Mini,Cabrio One,2017,,94.715 km,Gasolina,102 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cabrio-one-en-malaga.htm?id=8089699,15900
112,Mini,Mini,John Cooper Works Aut.,2023,02,9.000 km,Gasolina,231 CV,automática secuencial,3 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-mini-mini-john-cooper-works-aut-en-barcelona.htm?id=8088929,41499
113,Mini,Mini,Cooper Sd Aut.,2017,,72.000 km,Diesel,170 CV,automática secuencial,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-sd-aut-en-girona.htm?id=8088373,22900
114,Mini,Countryman,Cooper D All4,2017,,60.700 km,Diesel,149 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--cooper-d-all4-en-tarragona.htm?id=8088200,21900
115,Mini,Countryman,One D,2018,,150.355 km,Diesel,116 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--one-d-en-castellon.htm?id=8086334,18500
116,Mini,Mini,Cooper S Aut.,2023,,12.000 km,Gasolina,178 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-aut-en-tenerife.htm?id=8084869,33990
117,Mini,Mini,Clubman Cooper D,2018,,113.000 km,Diesel,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-clubman-cooper-d-en-madrid.htm?id=8083560,17999
118,Mini,Mini,Cooper,2017,,51.947 km,Gasolina,136 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-madrid.htm?id=8079877,20990
