,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
91,Renault,Koleos,2.0dci Zen X-tronic 130kw,2018,07,56.200 km,Diesel,175 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-zen-x-tronic-130kw-en-madrid.htm?id=7695846,26343
92,Renault,Koleos,2.0dci Blue Initiale Paris X-tronic 4x4 135kw,2021,,23.560 km,Diesel,185 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-blue-initiale-paris-x-tronic-4x4-135kw-en-madrid.htm?id=8084829,40533
93,Renault,Koleos,2.0dci Bose Edition 4x4,2010,,239.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-bose-edition-4x4-en-palmas+las.htm?id=8070610,7200
94,Renault,Koleos,2.0dci Initiale Paris X-tronic 4wd 130kw,2018,,49.900 km,Diesel,175 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-initiale-paris-x-tronic-4wd-130kw-en-malaga.htm?id=7962893,29900
95,Renault,Koleos,2.0dci Blue Techno X-tronic 4x2 135kw,2023,,10 km,Diesel,185 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-renault-koleos-20dci-blue-techno-x-tronic-4x2-135kw-en-badajoz.htm?id=7771269,39500
96,Renault,Koleos,2.0dci Zen 4wd 130kw,2017,,52.367 km,Diesel,175 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-zen-4wd-130kw-en-murcia.htm?id=7895423,23490
97,Renault,Koleos,1.6dci Intens 96kw,2017,,94.552 km,Diesel,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-16dci-intens-96kw-en-murcia.htm?id=7271182,25600
98,Renault,Koleos,2.0dci Expression 4x2,2015,,119.000 km,Diesel,150 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-expression-4x2-en-ciudad+real.htm?id=7780744,13900
99,Renault,Koleos,2.0dci Dynamique 4x4,2011,,87.500 km,Diesel,150 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-dynamique-4x4-en-barcelona.htm?id=6897250,9800
100,Renault,Koleos,2.0dci Expression 4x2,2011,,270.000 km,Diesel,150 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-expression-4x2-en-valencia.htm?id=7695786,5950
101,Renault,Koleos,2.0dci Expression 4x2,2011,07,200.000 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-expression-4x2-en-sevilla.htm?id=7900553,7500
102,Renault,Koleos,2.0dci Blue Initiale Paris X-tronic 4x4 135kw,2023,,11.820 km,Diesel,185 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-blue-initiale-paris-x-tronic-4x4-135kw-en-madrid.htm?id=8125145,44950
103,Renault,Koleos,2.0dci Blue Initiale Paris X-tronic 4x4 135kw,2023,,100 km,Diesel,185 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-renault-koleos-20dci-blue-initiale-paris-x-tronic-4x4-135kw-en-madrid.htm?id=8123800,46250
104,Renault,Koleos,2.0dci Zen X-tronic 130kw,2019,08,52.000 km,Diesel,175 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-zen-x-tronic-130kw-en-sevilla.htm?id=8087136,26000
105,Renault,Koleos,2.0dci Expression 4x4,2011,,190.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-expression-4x4-en-avila.htm?id=8079227,7490
106,Renault,Koleos,2.0dci Initiale Paris X-tronic 4wd 130kw,2018,,80.000 km,Diesel,175 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-initiale-paris-x-tronic-4wd-130kw-en-ciudad+real.htm?id=7933726,22990
107,Renault,Koleos,2.0dci Blue Initiale Paris X-tronic 4x4 135kw,2021,12,29.839 km,Diesel,185 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-blue-initiale-paris-x-tronic-4x4-135kw-en-murcia.htm?id=7859658,34500
108,Renault,Koleos,2.0dci Dynamique 4x2,2010,06,165.900 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-dynamique-4x2-en-madrid.htm?id=7980661,8900
109,Renault,Koleos,2.0dci Initiale Paris X-tronic 4wd 130kw,2017,10,74.200 km,Diesel,175 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-initiale-paris-x-tronic-4wd-130kw-en-madrid.htm?id=7965095,23850
110,Renault,Koleos,2.0dci Dynamique Pk1 4x2,2010,06,120.300 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-dynamique-pk1-4x2-en-madrid.htm?id=7898451,8750
111,Renault,Koleos,2.0dci Zen X-tronic 130kw,2018,07,56.200 km,Diesel,175 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-zen-x-tronic-130kw-en-madrid.htm?id=7695846,26343
112,Renault,Koleos,2.0dci Blue Initiale Paris X-tronic 4x4 135kw,2021,,23.560 km,Diesel,185 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-blue-initiale-paris-x-tronic-4x4-135kw-en-madrid.htm?id=8084829,40533
113,Renault,Koleos,2.0dci Bose Edition 4x4,2010,,239.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-bose-edition-4x4-en-palmas+las.htm?id=8070610,7200
114,Renault,Koleos,2.0dci Initiale Paris X-tronic 4wd 130kw,2018,,49.900 km,Diesel,175 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-initiale-paris-x-tronic-4wd-130kw-en-malaga.htm?id=7962893,29900
115,Renault,Koleos,2.0dci Blue Techno X-tronic 4x2 135kw,2023,,10 km,Diesel,185 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-renault-koleos-20dci-blue-techno-x-tronic-4x2-135kw-en-badajoz.htm?id=7771269,39500
116,Renault,Koleos,2.0dci Zen 4wd 130kw,2017,,52.367 km,Diesel,175 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-zen-4wd-130kw-en-murcia.htm?id=7895423,23490
117,Renault,Koleos,1.6dci Intens 96kw,2017,,94.552 km,Diesel,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-16dci-intens-96kw-en-murcia.htm?id=7271182,25600
118,Renault,Koleos,2.0dci Expression 4x2,2015,,119.000 km,Diesel,150 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-expression-4x2-en-ciudad+real.htm?id=7780744,13900
119,Renault,Koleos,2.0dci Dynamique 4x4,2011,,87.500 km,Diesel,150 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-dynamique-4x4-en-barcelona.htm?id=6897250,9800
120,Renault,Koleos,2.0dci Expression 4x2,2011,,270.000 km,Diesel,150 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-koleos-20dci-expression-4x2-en-valencia.htm?id=7695786,5950
